"id","skills","interests","marks","career_option","roadmap"
"759","Education; Mentoring; Communication; Pedagogy; Teaching; Training; Curriculum"," Academic Counseling; Guidance; Learning; Strategy","76"," Academic Counselor","Mentoring, Guidance, Student Development"
"760","Research; Innovation; Data Analysis; Statistics; Science; AI; Lab Work"," Research Scientist; Discovery; Experimentation; Analytics","88"," Research Scientist","Innovation, Experimentation, Data Analysis"
"761","Biology; Genetics; Biotechnology; AI; Research; Lab Work; Statistics"," Genetic Engineering; Innovation; Healthcare; Research","90"," Genetic Engineer","Biotechnology, DNA Research, Lab Work"
"762","Chemistry; Lab Work; Analysis; Pharmaceuticals; Medicine; Biotech; Research"," Chemistry; Healthcare; Research; Innovation","86"," Chemist","Lab Work, Formulations, Research"
"763","AI; Automation; Robotics; Innovation; Deep Learning; IoT; Hardware"," AI Research; Engineering; Future Tech; Robotics","92"," AI Researcher","Deep Learning, NLP, Robotics"
"764","Cloud; DevOps; Security; Infrastructure; Automation; Azure; AWS; GCP"," Cloud Engineering; Strategy; Deployment; Compliance","84"," Cloud Engineer","Learn Docker, Kubernetes, Terraform, Cloud Security"
"765","Python; SQL; Excel; Data Management; Analytics; Power BI; Tableau"," Database Administration; Reporting; BI Systems; ETL","81"," Database Administrator","Master SQL, Database Security, Optimization"
"766","Communication; Creativity; Writing; Content Creation; Strategy; Marketing; Branding"," Content Strategy; Advertising; Social Media; Creativity","77"," Content Strategist","Creativity, Writing, SEO, Branding"
"767","Leadership; Management; Planning; Administration; Strategy; HR; ERP"," Operations Management; Leadership; Business; Strategy","85"," Operations Manager","Process Optimization, Team Management"
"768","Python; TensorFlow; NLP; AI Research; Deep Learning; Transformers; SpaCy"," AI Science; Research; Linguistics; AI Systems","89"," AI Scientist","Research, Deep Learning, AI Innovation"
"769","JavaScript; Vue.js; CSS; HTML; Bootstrap; Angular; React"," Frontend Engineering; Creativity; UI Development; Web Systems","78"," Frontend Engineer","Master React, Angular, Responsive Design"
"770","Python; Scikit-learn; ML; Predictive Modeling; Statistics; NumPy; Pandas"," ML Engineering; Analytics; AI Research; Data Science","87"," ML Engineer","Machine Learning Models, Optimization"
"771","AWS; Azure; Cloud Security; Infrastructure; DevOps; GCP; Terraform"," Cloud Engineering; Strategy; Automation; Deployment","85"," Cloud Engineer","Learn Docker, Kubernetes, Terraform, Cloud Security"
"772","Python; SQL; Power BI; Analytics; Excel; Tableau; R"," BI Development; Reporting; Business Analytics; Visualization","82"," BI Developer","BI Tools, Dashboards, Data Modeling"
"773","Java; Kotlin; Android Studio; Firebase; XML; Gradle; SQLite"," Mobile Development; Creativity; App Design; Debugging","80"," Mobile Developer","Cross-platform Apps, Flutter, React Native"
"774","Python; PyTorch; Deep Learning; AI Research; TensorFlow; Keras; NumPy"," AI Engineering; Research; Data Science; Innovation","90"," AI Engineer","Study Keras, PyTorch, Neural Networks, NLP"
"775","HTML; CSS; JavaScript; UI Design; React; Angular; Vue.js"," Web Design; Creativity; Frontend Systems; Accessibility","76"," Web Designer","UI, UX, Responsive Design"
"776","Python; R; Data Mining; Analytics; Statistics; NumPy; Pandas"," Data Science; Research; AI Systems","88"," Data Scientist","Learn TensorFlow, Pandas, NumPy, Statistics, Data Visualization"
777,"HR Management; Recruitment; Payroll","Human Resource; People Management","80","HR Manager","Learn HR policies → Recruitment → Payroll → Employee Engagement"
778,"Sales; Negotiation; Communication","Customer Relations; Business Development","78","Sales Executive","Learn Sales Strategy → CRM Tools → Client Handling"
779,"Marketing; Branding; Advertising","Digital Marketing; Campaigns","82","Marketing Executive","Learn Marketing Fundamentals → SEO → Social Media Ads"
780,"Finance; Accounting; Auditing","Financial Planning; Budgeting","85","Finance Executive","Learn Accounting → Taxation → Auditing → Financial Analysis"
781,"Customer Service; Communication","Client Support; Helpdesk","75","Customer Support Specialist","Learn CRM Tools → Communication Skills → Problem Solving"
782,"Recruitment; Talent Acquisition","HR Operations; Hiring","79","Talent Acquisition Specialist","Learn Recruitment Process → ATS Tools → Interviewing"
783,"Content Writing; Editing","Creative Writing; Blogging","77","Content Writer","Learn Writing Skills → SEO → Blogging → Copywriting"
784,"Graphic Design; Creativity","Visual Communication; Branding","80","Graphic Designer","Learn Photoshop → Illustrator → Branding → UI Design"
785,"Teaching; Training; Mentoring","Education; Coaching","83","School Teacher","Learn Pedagogy → Subject Expertise → Classroom Management"
786,"Law; Legal Advice","Corporate Law; Compliance","84","Legal Advisor","Learn Law Basics → Corporate Law → Compliance → Case Studies"
787,"Healthcare; Patient Care","Medical Assistance; Nursing","81","Healthcare Specialist","Learn Patient Care → Medical Ethics → Healthcare Systems"
788,"Event Planning; Coordination","Event Management; Hospitality","76","Event Manager","Learn Event Planning → Vendor Management → Hospitality"
789,"Public Relations; Communication","Media Relations; Branding","79","PR Specialist","Learn PR Strategy → Media Handling → Crisis Management"
790,"Operations; Management","Business Operations; Logistics","82","Operations Manager","Learn Business Processes → Supply Chain → Team Management"
791,"Project Planning; Scheduling","Project Management; Leadership","85","Project Manager","Learn PM Tools → Agile → Risk Management → Leadership"
792,"Recruitment; HR Policies","Employee Relations; HR Systems","80","HR Specialist","Learn HR Policies → Employee Engagement → Payroll Systems"
793,"SEO; Digital Marketing","Search Engine Optimization; Analytics","78","SEO Analyst","Learn SEO → Google Analytics → Content Optimization"
794,"Social Media; Marketing","Digital Campaigns; Branding","79","Social Media Manager","Learn Social Media Strategy → Ads → Analytics"
795,"Counseling; Guidance","Education; Psychology","82","Academic Counselor","Learn Counseling Skills → Student Guidance → Career Planning"
796,"Business Development; Sales","Client Acquisition; Partnerships","81","Business Development Executive","Learn Business Growth → Negotiation → Partnerships"
797,"Administration; Office Management","Clerical Work; Coordination","75","Administrative Assistant","Learn Office Tools → Coordination → Documentation"
798,"Data Analysis; Excel","Data Management; Reporting","80","Data Analyst","Learn Excel → Data Visualization → Reporting"
799,"Software Development; Programming","Coding; Software Engineering","85","Software Developer","Learn Programming Languages → Software Development → System Design"
800,"Customer Service; Communication","Client Support; Helpdesk","78","Customer Service Representative","Learn Communication Skills → CRM Tools → Problem Solving"
